ITEM;FORNECEDOR;VALOR UN.;CONTAB.
ARMÁRIO ALTO;SALVADOR LOC;260,0;True
ARMÁRIO BAIXO;SALVADOR LOC;210,0;True
ARMÁRIO OCTA 1,00 X 0,50 X 1,00(H);MONTLUCK;200,0;True
ESPELHO CORPO INTEIRO;LIVE;120,0;True
GELADEIRA;ALUGUE MAIS;900,0;True
LIXEIRA GRANDE PEDAL;SALVADOR LOC;190,0;True
LIXEIRA SIMPLES;MONTLUCK;60,0;True
MESA OCTA 1,00 X 0,50 X 070(H);MONTLUCK;70,0;True
MESA PLÁSTICA;RELUZIR;40,0;True
MICROONDAS;ALUGUE MAIS;500,0;True
RÉGUA ELÉTRICA;GLEX;0,0;True
TOMADA INSTALADA;MONTLUCK;50,0;True
ESTANTE DE AÇO;SALVADOR LOC;145,0;True
BEBEDOURO TORRE 20L - 220V;ALUGUE MAIS;0,0;False
CADEIRA BAIXA;CCS;0,0;False
RÉGUA ELÉTRICA 4 ENTRADAS CHICOTE GDE.;GLEX;0,0;False
MESA ESCRIVANINHA;LIVE;150,0;True
FRIGOBAR;ALUGUE MAIS;600,0;True
PIA BOMBONA;MONTLUCK;400,0;True
FECHAMENTO DEPÓSITO;MONTLUCK;125,0;True
ITEM_TESTE;FORNECEDOR_TESTE;150,0;True
