LOCALIZAÇÃO;PROJETO;ITEM;FORNECEDOR;VALOR UN.;QTD.;OBS;VALOR TOTAL
CAMAROTE(S) 106B;BRIGADA;ARMÁRIO BAIXO;SALVADOR LOC;210,0;1,0;ARMÁRIO OCTA 1,00 X 0,50 X 1,00(H) 200 200;210,0
CAMAROTE(S) 106B;BRIGADA;CADEIRA BAIXA;CCS;0,0;5,0;  ;0,0
CAMAROTE(S) 106B;BRIGADA;LIXEIRA SIMPLES;MONTLUCK;60,0;1000,0;VER LIMPEZA OFICIAL  ;60000,0
CAMAROTE(S) 106B;BRIGADA;MESA PLÁSTICA;RELUZIR;40,0;2,0;  ;80,0
CAMAROTE(S) 106B;BRIGADA;RÉGUA ELÉTRICA 4 ENTRADAS CHICOTE GDE.;GLEX;0,0;1,0;  ;0,0
CAMAROTE(S) 101B;CAEX/FINANCEIRO;MESA ESCRIVANINHA;LIVE;150,0;6,0;  ;900,0
CAMAROTE(S) 105B;LIMPEZA;CADEIRA BAIXA;CCS;0,0;5,0;  ;0,0
CAMAROTE(S) 105B;LIMPEZA;LIXEIRA SIMPLES;MONTLUCK;60,0;1,0;VER LIMPEZA OFICIAL  ;60,0
CAMAROTE(S) 105B;LIMPEZA;MESA PLÁSTICA;RELUZIR;40,0;5,0;  ;200,0
CAMAROTE(S) 105B;LIMPEZA;RÉGUA ELÉTRICA 4 ENTRADAS CHICOTE GDE.;GLEX;0,0;1,0;  ;0,0
CAMAROTE(S) 107A;PRODUÇÃO/NÚCLEO;;;;;  ;
CAMAROTE(S) 109B;REFEITÓRIO;BEBEDOURO TORRE 20L - 220V;ALUGUE MAIS;0,0;2,0;LINHA SEPARADA  ;0,0
CAMAROTE(S) 109B;REFEITÓRIO;CADEIRA BAIXA;CCS;0,0;64,0;  ;0,0
CAMAROTE(S) 109B;REFEITÓRIO;GELADEIRA;ALUGUE MAIS;900,0;1,0;  ;900,0
CAMAROTE(S) 109B;REFEITÓRIO;LIXEIRA GRANDE PEDAL;SALVADOR LOC;190,0;2,0;SEM BEBEDOURO (2x)  ;380,0
CAMAROTE(S) 109B;REFEITÓRIO;MESA PLÁSTICA;RELUZIR;40,0;18,0; 800 ;720,0
CAMAROTE(S) 109B;REFEITÓRIO;MICROONDAS;ALUGUE MAIS;500,0;;LINHA SEPARADA  ;
CAMAROTE(S) 109B;REFEITÓRIO;PIA BOMBONA;MONTLUCK;400,0;2,0;SEM MICROONDAS (2x)  ;800,0
CAMAROTE(S) 109B;REFEITÓRIO;RÉGUA ELÉTRICA 4 ENTRADAS CHICOTE GDE.;GLEX;0,0;1,0;  ;0,0
CAMAROTE(S) 109B;REFEITÓRIO;TOMADA INSTALADA;MONTLUCK;50,0;6,0;  ;300,0
CAMAROTE(S) 109B;REFEITÓRIO;TOMADA INSTALADA;MONTLUCK;50,0;2,0;  ;100,0
CAMAROTE(S) 104B;SEGURANÇA;ARMÁRIO BAIXO;SALVADOR LOC;210,0;1,0;ARMÁRIO OCTA 1,00 X 0,50 X 1,00(H) 200 200;210,0
